List the type of the recent files in my drive	GET drive.recent
List out the top 7 files created by Aurea ordered by their created time starting from newest to oldest.	GET drive.root.children FILTER file.createdBy eq Aurea TOP 7 ORDERBY file.createdDateTime desc
Which top 7 files were created by Aurea arranged in order of their creation time from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Aurea TOP 7 ORDERBY file.createdDateTime desc
Show me the files which were shared with anyone.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone
What are the files shared with anyone?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone
List out the top 14 headturn files that were modified last Tuesday.	GET drive.root.children FILTER file.name eq headturn FILTER file.lastModifiedDateTime eq last Tuesday TOP 14
Give me the information about top 14 headturn files which were updated last Tuesday.	GET drive.root.children FILTER file.name eq headturn FILTER file.lastModifiedDateTime eq last Tuesday TOP 14
Give me the number of recent pdf files created by Petesic.	GET drive.recent FILTER file.fileType eq pdf FILTER file.createdBy eq Petesic COUNT
How many recent pdf files created by Petesic?	GET drive.recent FILTER file.fileType eq pdf FILTER file.createdBy eq Petesic COUNT
How many linear regression files do I have?	GET drive.root.children FILTER file.name eq linear regression COUNT
Tell me about the number of linear regression files.	GET drive.root.children FILTER file.name eq linear regression COUNT
Give me the files which were last modified by Shaunda Towsend and created yesterday.	GET drive.root.children FILTER file.createdDateTime eq yesterday FILTER file.lastModifiedBy eq Shaunda Towsend
Show me files which created yesterday and last modified by Shaunda Towsend.	GET drive.root.children FILTER file.createdDateTime eq yesterday FILTER file.lastModifiedBy eq Shaunda Towsend
List out the top 2 Sales Training pdf files created by Billie Cartelli in A - Z order.	GET drive.root.children FILTER file.fileType eq pdf FILTER file.createdBy eq Billie Cartelli FILTER file.name eq Sales Training TOP 2 ORDERBY file.name asc
Give me the information about top 2 Sales Training pdf files created by Billie Cartelli ordered by name in ascending alphabetical order.	GET drive.root.children FILTER file.fileType eq pdf FILTER file.createdBy eq Billie Cartelli FILTER file.name eq Sales Training TOP 2 ORDERBY file.name asc
How many recent files I have in my drive?	GET drive.recent COUNT
Provide me with the number of recent files.	GET drive.recent COUNT
Tell me about the files shared with specific users that were created by Gabriella this year and lastly modified this Tuesday.	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.lastModifiedDateTime eq this Tuesday FILTER file.createdBy eq Gabriella FILTER file.sharedWith eq specific users
Give me the files which were shared with specific users and were created by Gabriella this year and last modified this Tuesday.	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.lastModifiedDateTime eq this Tuesday FILTER file.createdBy eq Gabriella FILTER file.sharedWith eq specific users
Give me the files last modified by Spigner and shared with anyone.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Spigner FILTER file.sharedWith eq anyone
Make a list of files that were shared with anyone and were last modified by Spigner.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Spigner FILTER file.sharedWith eq anyone
Give me the png files which were shared with anyone.	GET drive.sharedWithMe FILTER file.fileType eq png FILTER file.sharedWith eq anyone
What are the png files which were shared with anyone?	GET drive.sharedWithMe FILTER file.fileType eq png FILTER file.sharedWith eq anyone
Give me the number of files that were created this Sunday and last edited by Nucci.	GET drive.root.children FILTER file.lastModifiedBy eq Nucci FILTER file.createdDateTime eq this Saturday COUNT
How many files are there that were last modified by Nucci and created this Sunday?	GET drive.root.children FILTER file.lastModifiedBy eq Nucci FILTER file.createdDateTime eq this Saturday COUNT
How many power point presentations having name China were shared with me and specific users?	GET drive.sharedWithMe FILTER file.fileType eq ppt FILTER file.name eq China FILTER file.sharedWith eq specific users COUNT
Provide the number of presentation files with the name China that were shared with me and anyone.	GET drive.sharedWithMe FILTER file.fileType eq ppt FILTER file.name eq China FILTER file.sharedWith eq specific users COUNT
How many recent doc files I have in my drive?	GET drive.recent FILTER file.fileType eq doc COUNT
Give me the number of recent doc files.	GET drive.recent FILTER file.fileType eq doc COUNT
How many recent files are there?	GET drive.recent COUNT
Make a list of recent files.	GET drive.recent COUNT
What are the image files I have in my drive ordered by name from Z to A?	GET drive.root.children FILTER file.fileType eq png ORDERBY file.name desc
Give me the png files by name in reverse alphabetical order.	GET drive.root.children FILTER file.fileType eq png ORDERBY file.name desc
Give me the number of recent files.	GET drive.recent COUNT
What are the number of recent files?	GET drive.recent COUNT
How many files were shared with anyone and last modified three hours ago?	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.sharedWith eq anyone COUNT
Provide me with the number of files that were last modified three hours ago and shared with anyone.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.sharedWith eq anyone COUNT
List the top 8 files shared with specific users.	GET drive.sharedWithMe FILTER file.sharedWith eq specific users TOP 8
Which top 8 files were shared with specific users?	GET drive.sharedWithMe FILTER file.sharedWith eq specific users TOP 8
Tell me about the files that were last modified by Sabrina Linde and shared with specific users.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Sabrina Linde FILTER file.sharedWith eq specific users
What are the files that were last updated by Sabrina Linde and shared with specific users?	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Sabrina Linde FILTER file.sharedWith eq specific users
Make a list of files that were last edited by Yuri Lugardo.	GET drive.root.children FILTER file.lastModifiedBy eq Yuri Lugardo
Which files were last modified by Yuri Lugardo?	GET drive.root.children FILTER file.lastModifiedBy eq Yuri Lugardo
Create a list of word files.	GET drive.root.children FILTER file.fileType eq doc
Which word files are there in my drive.	GET drive.root.children FILTER file.fileType eq doc
What are the PowerPoint files that were shared with anyone and were modified last Monday?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq last Monday FILTER file.fileType eq ppt
Show me the ppt files which were updated last Monday and shared with anyone.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq last Monday FILTER file.fileType eq ppt
List the number of word files that were last edited by Eartha and shared with me.	GET drive.sharedWithMe FILTER file.fileType eq doc FILTER file.lastModifiedBy eq Eartha COUNT
How many word files were shared with me that were last altered by Eartha?	GET drive.sharedWithMe FILTER file.fileType eq doc FILTER file.lastModifiedBy eq Eartha COUNT
Give me the number of png files that were created yesterday and shared with me.	GET drive.sharedWithMe FILTER file.fileType eq png FILTER file.createdDateTime eq yesterday COUNT
What is the number of png files shared with me that were created yesterday?	GET drive.sharedWithMe FILTER file.fileType eq png FILTER file.createdDateTime eq yesterday COUNT
Tell me about the top 10 files created by Sang Helberg.	GET drive.root.children FILTER file.createdBy eq Sang Helberg TOP 10
What are the top 10 files that were created by Sang Helberg?	GET drive.root.children FILTER file.createdBy eq Sang Helberg TOP 10
How many recent files is in my drive?	GET drive.recent COUNT
Give me the number of recent files.	GET drive.recent COUNT
What are the files I have in my drive that were last modified by Abbie?	GET drive.root.children FILTER file.lastModifiedBy eq Abbie
Tell me about the files that were last updated by Abbie.	GET drive.root.children FILTER file.lastModifiedBy eq Abbie
Give me the number of files which were last modified by Saephan and created last Wednesday that were shared with me.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Saephan FILTER file.createdDateTime eq last Wednesday COUNT
How many files which were last modified by Saephan and created last Wednesday that were shared with me?	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Saephan FILTER file.createdDateTime eq last Wednesday COUNT
Tell me about the top 5 files in A - Z order.	GET drive.root.children ORDERBY file.name asc TOP 5
List out the top 5 files ordered by name in ascending alphabetical order.	GET drive.root.children ORDERBY file.name asc TOP 5
What is the number of recent files in my drive?	GET drive.recent COUNT
Provide the number of recent files.	GET drive.recent COUNT
What are the number of files that were edited last Friday?	GET drive.root.children FILTER file.lastModifiedDateTime eq last Friday COUNT
Give me the number of files which were modified last Friday.	GET drive.root.children FILTER file.lastModifiedDateTime eq last Friday COUNT
Give me the pdf files that were last edited by Whiting.	GET drive.root.children FILTER file.fileType eq pdf FILTER file.lastModifiedBy eq Whiting
Which pdf files were last modified by Whiting?	GET drive.root.children FILTER file.fileType eq pdf FILTER file.lastModifiedBy eq Whiting
